Level,Name,Value,Description
0,CPU,663 Registers,CPU Registers
 1,Core,27 Registers,All CPU Registers
  2,R0,0x00000000,General purpose register 0
  2,R1,0x00000E38,General purpose register 1
  2,R2,0x00000002,General purpose register 2
  2,R3,0x20020000,General purpose register 3
  2,R4,0x20000778,General purpose register 4
  2,R5,0x00000000,General purpose register 5
  2,R6,0x00000000,General purpose register 6
  2,R7,0x2001FFF8,General purpose register 7
  2,R8,0x00000000,General purpose register 8
  2,R9,0x00000000,General purpose register 9
  2,R10,0x00000000,General purpose register 10
  2,R11,0x00000000,General purpose register 11
  2,R12,0x00000000,General purpose register 12
  2,R13 (SP),0x2001FFD8,Stack pointer
  2,R14 (LR),0xFFFFFFF9,Link register
  2,R15 (PC),0xF7F96878,Program counter
  2,xPSR,0x41000003 (nZcvqT),Program status register
  2,MSP,0x2001FFD8,Main stack pointer
  2,PSP,0x00000000,Process stack pointer
  2,APSR,0x40000000 (nZcvq),Application program status register
  2,EPSR,0x01000000 (T),Exception program status register
  2,IPSR,0x00000003,Interrupt program status register
  2,PriMask,0x00000000 (p),Priority mask register
  2,BasePri,0x00000000,Base priority mask register
  2,FaultMask,0x00000000 (f),Fault mask register
  2,Control,0x00000000 (fsn),Control register
  2,CycleCount,0x0355BF4C,Cycle count
 1,FPU,33 Registers,FPU Registers
 1,FPU (Double),17 Registers,FPU Registers (double-precision)
 1,Peripherals,586 Registers,Memory-Mapped CPU Registers
0,Peripherals,1414 Registers,Memory-Mapped Registers
